id,title,description,image_prompt,tags,categories,price,player_count_min,player_count_max,play_time_minutes,publisher,designer,release_year,image_url,created_at,updated_at,description_vector
1,"Trailblazers: Echoes","Trailblazers: Echoes opens like a classic Co-op game, then quickly reveals Cards layers that reward long-form table memory. Your group manages volatile economies while chasing milestone bonuses; by chapter 5 the board can contain over 23 modular tiles. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Engine Building|Dice|Cards|Campaign",Co-op,88.45,2,7,72,"Clockwork Labs","Elliot Mercer",2003,/images/fixtures/game_0001.png,2025-08-01T01:38:07+00:00,2026-03-26T10:29:41+00:00,"-0.1031,-0.5114,-0.4807,0.841,-0.8503,-0.2145,-0.9424,-0.176"
2,"Azul: Trails","Built around Abstract systems, Azul: Trails pushes Cards choices across 11 linked sessions and rewards tables that enjoy mythic restoration. Economy rails are intentionally unstable: once players trigger threshold events, 5 new scoring hooks reshape optimal lines. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,Miniatures|Dice|Legacy|Cards,Abstract,57.02,1,10,100,"Indigo Forge","Elliot Mercer",2019,/images/fixtures/game_0002.png,2026-01-09T03:35:59+00:00,2026-03-26T10:29:41+00:00,"0.7875,0.3368,0.3823,-0.3805,0.3221,-0.8034,0.7608,0.9433"
3,"Drafting Horizon","At its core, Drafting Horizon is a Co-op design where Miniatures and Tile Laying mechanisms collide with sequential tactical turns pacing for 1–3 players groups. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Economy rails are intentionally unstable: once players trigger threshold events, 9 new scoring hooks reshape optimal lines. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Miniatures|Tile Laying",Co-op,85.08,4,10,82,"Nimbus Games","Soraya Kline",1996,/images/fixtures/game_0003.png,2025-06-16T21:18:20+00:00,2026-03-26T10:29:41+00:00,"0.2769,0.439,0.8204,-0.5459,-0.9286,0.3515,0.6244,0.53"
4,"Radiant Orbit","Radiant Orbit is a expert optimization Party title for 1–8 players that leans into Solo, Engine Building and Tile Laying and sequential tactical turns play. Its Party framework encourages risky pivots, especially once table politics reshape priorities. Campaign logs track table history, so failed gambits still unlock content; expect up to 6 relic-style upgrades that alter scoring priorities. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Few designs blend Party and Solo this smoothly while remaining approachable across varied player counts.",,"Solo|Engine Building|Tile Laying",Party,54.87,3,8,177,"Silver Oak Studio","Lena Ortiz",2008,/images/fixtures/game_0004.png,2025-08-23T01:47:10+00:00,2026-03-26T10:29:41+00:00,"-0.1648,0.0045,-0.1718,-0.1718,-0.5616,-0.2435,0.768,-0.262"
5,"El Grande Mystic","El Grande Mystic is a brain-burner Eurogame title for 2–7 players that leans into Solo, Miniatures, Engine Building and Cards and sequential tactical turns play. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Your group manages feast-or-famine economies while chasing milestone bonuses; by chapter 7 the board can contain over 21 modular tiles. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Solo|Miniatures|Engine Building|Cards",Eurogame,40.21,3,9,148,"Silver Oak Studio","Soraya Kline",2010,/images/fixtures/game_0005.png,2025-06-24T07:05:54+00:00,2026-03-26T10:29:41+00:00,"-0.015,-0.7425,0.5654,-0.426,0.3254,0.0217,0.7991,0.1936"
6,"Ambitious Inis","Designed for newcomer-friendly tables, Ambitious Inis channels guild conspiracies into a ruleset that stays readable while outcomes stay unpredictable. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Round structure forces meaningful tradeoffs between tempo and efficiency; over 4 chapters, even small resource leaks become strategic liabilities. Only adaptable crews master Ambitious Inis, where a reputation system unlocks asymmetric late-game powers and long-term planning matter as much as tactical brilliance.",,"Tile Laying|Solo|Campaign|Dice",Thematic,53.84,3,7,168,"Silver Oak Studio","Akira Flynn",2004,/images/fixtures/game_0006.png,2025-07-01T09:11:01+00:00,2026-03-26T10:29:41+00:00,"0.6796,-0.1295,-0.7833,-0.8923,0.8238,0.7849,0.6651,0.7901"
7,"Heat Elegant","Heat Elegant is a campaign-first Thematic title for 1–5 players that leans into Campaign, Engine Building and Solo and initiative bidding play. Campaign logs track table history, so failed gambits still unlock content; expect up to 9 relic-style upgrades that alter scoring priorities. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Campaign|Engine Building|Solo",Thematic,83.80,3,7,93,"Arcana Works","Marcus Thorne",2009,/images/fixtures/game_0007.png,2025-04-23T14:41:55+00:00,2026-03-26T10:29:41+00:00,"-0.4464,0.6884,-0.8011,-0.9785,0.5335,-0.4105,-0.0742,0.7817"
8,"Silos: Guild","Silos: Guild blends Abstract structure with Solo chaos, delivering 93-minute arcs where every decision compounds into later chapters. Core turns revolve around programmed actions: commit actions, resolve conflicts, then pivot as event decks introduce 7 escalating complications. Few designs blend Abstract and Solo this smoothly while remaining approachable across varied player counts.",,Solo|Campaign|Miniatures,Abstract,40.38,4,8,77,"Silver Oak Studio","Soraya Kline",1996,/images/fixtures/game_0008.png,2025-12-24T05:46:24+00:00,2026-03-26T10:29:41+00:00,"-0.0142,-0.9306,0.5259,0.2306,-0.6362,0.1347,-0.6505,-0.6431"
9,"Mythic Alliance","Mythic Alliance frames frontier diplomacy as a living sandbox: each scenario escalates pressure while 2–8 players teams improvise around shifting incentives. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Map states remain highly legible despite scale; by late game, up to 26 tiles and layered markers support deep positional planning. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Tile Laying|Engine Building|Solo","Deck Building",89.31,2,9,158,"Silver Oak Studio","Akira Flynn",1990,/images/fixtures/game_0009.png,2025-07-07T17:58:54+00:00,2026-03-26T10:29:41+00:00,"0.8122,0.0279,0.5398,0.1722,-0.258,-0.7118,0.9116,-0.7525"
10,"El Grande: Odyssey","At its core, El Grande: Odyssey is a Strategy design where Campaign, Legacy and Tile Laying mechanisms collide with simultaneous planning pacing for 2–6 players groups. Economy rails are intentionally unstable: once players trigger threshold events, 8 new scoring hooks reshape optimal lines. Only adaptable crews master El Grande: Odyssey, where players vote to rewrite one core rule each chapter and long-term planning matter as much as tactical brilliance.",,"Campaign|Legacy|Tile Laying",Strategy,35.14,1,6,32,"Nimbus Games","Marcus Thorne",2021,/images/fixtures/game_0010.png,2025-07-06T02:56:13+00:00,2026-03-26T10:29:41+00:00,"0.2221,0.5192,-0.5407,-0.2918,-0.6421,0.8781,0.5695,0.2647"
