id,title,description,image_prompt,tags,categories,price,player_count_min,player_count_max,play_time_minutes,publisher,designer,release_year,image_url,created_at,updated_at,description_vector
1,"Campaign beyond Harvest","Built around Abstract systems, Campaign beyond Harvest pushes Legacy choices across 11 linked sessions and rewards tables that enjoy arcane rivalry. Because scoring vectors drift over time, tables that over-specialize early often get punished once Legacy effects begin stacking. Core turns revolve around simultaneous planning: commit actions, resolve conflicts, then pivot as event decks introduce 5 escalating complications. Veteran groups report that Campaign beyond Harvest shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,"Dice|Legacy|Engine Building|Tile Laying",Abstract,74.11,1,6,32,"Arcana Works","Akira Flynn",1994,/images/fixtures/game_0001.png,2025-04-22T01:57:10+00:00,2026-03-25T06:22:59+00:00,"-0.0903,0.9873,0.5714,-0.4619,0.1059,0.8732,-0.0117,-0.8054"
2,"Trailblazers: Campaign","Part campaign and part systems puzzle, Trailblazers: Campaign asks 1–8 players players to master Abstract priorities under attritional pressure. Core turns revolve around draft-and-resolve rounds: commit actions, resolve conflicts, then pivot as event decks introduce 8 escalating complications. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Tile Laying|Campaign|Engine Building",Abstract,30.86,3,8,60,"Nimbus Games","Elliot Mercer",2022,/images/fixtures/game_0002.png,2026-01-24T05:31:54+00:00,2026-03-25T06:22:59+00:00,"-0.4804,0.5241,0.0349,0.5958,0.013,-0.7109,-0.602,-0.0553"
3,"Scout: Chronicles","Scout: Chronicles opens like a classic Deck Building game, then quickly reveals Tile Laying layers that reward long-form table memory. Because scoring vectors drift over time, tables that over-specialize early often get punished once Tile Laying effects begin stacking. Your group manages tight economies while chasing milestone bonuses; by chapter 7 the board can contain over 16 modular tiles. Veteran groups report that Scout: Chronicles shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,"Campaign|Dice|Tile Laying|Engine Building","Deck Building",28.12,2,9,36,"Clockwork Labs","Lena Ortiz",2014,/images/fixtures/game_0003.png,2025-11-11T12:17:18+00:00,2026-03-25T06:22:59+00:00,"-0.6645,-0.6715,0.6193,0.3437,0.314,-0.5684,-0.0705,0.2508"
4,"Tatari: Island","Tatari: Island opens like a classic Abstract game, then quickly reveals Dice layers that reward long-form table memory. Its Abstract framework encourages risky pivots, especially once table politics reshape priorities. Core turns revolve around sequential tactical turns: commit actions, resolve conflicts, then pivot as event decks introduce 4 escalating complications. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Tile Laying|Dice",Abstract,86.34,1,6,97,"Silver Oak Studio","Lena Ortiz",2001,/images/fixtures/game_0004.png,2025-07-14T14:44:29+00:00,2026-03-25T06:22:59+00:00,"-0.689,-0.4387,-0.7722,0.2644,-0.2312,0.9147,0.5223,0.5611"
5,"Reckoning against Conclave","Part campaign and part systems puzzle, Reckoning against Conclave asks 1–4 players players to master Party priorities under risk-loaded pressure. A standout mechanic tied to Tile Laying means even safe plans can collapse if opponents read your tempo one round ahead. Core turns revolve around real-time bursts: commit actions, resolve conflicts, then pivot as event decks introduce 5 escalating complications. Only adaptable crews master Reckoning against Conclave, where a reputation system unlocks asymmetric late-game powers and long-term planning matter as much as tactical brilliance.",,"Cards|Tile Laying|Solo",Party,34.37,1,5,161,"Nimbus Games","Lena Ortiz",2003,/images/fixtures/game_0005.png,2026-01-09T21:19:55+00:00,2026-03-25T06:22:59+00:00,"0.9621,0.8554,-0.2745,0.9971,0.6631,-0.2495,-0.0429,0.1086"
6,"El Grande: Concord","Part campaign and part systems puzzle, El Grande: Concord asks 2–6 players players to master Deck Building priorities under attritional pressure. Its Deck Building framework encourages risky pivots, especially once table politics reshape priorities. Your group manages attritional economies while chasing milestone bonuses; by chapter 7 the board can contain over 16 modular tiles. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Tile Laying|Miniatures","Deck Building",50.31,4,5,160,"Nimbus Games","Elliot Mercer",1999,/images/fixtures/game_0006.png,2025-08-10T20:53:26+00:00,2026-03-25T06:22:59+00:00,"0.9217,0.9092,0.8925,0.7122,-0.6834,0.1692,-0.0728,0.4209"
7,"Ego without Tatari","Designed for newcomer-friendly tables, Ego without Tatari channels merchant drama into a ruleset that stays readable while outcomes stay unpredictable. Its Deck Building framework encourages risky pivots, especially once table politics reshape priorities. Your group manages scarce economies while chasing milestone bonuses; by chapter 5 the board can contain over 26 modular tiles. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Win or lose, Ego without Tatari tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Solo|Campaign|Miniatures,"Deck Building",33.03,2,9,152,"Silver Oak Studio","Elliot Mercer",2009,/images/fixtures/game_0007.png,2025-06-05T14:53:07+00:00,2026-03-25T06:22:59+00:00,"0.3743,0.0818,-0.4979,0.4155,-0.8459,-0.6415,0.3381,-0.9323"
8,"Azul Mystic","Designed for newcomer-friendly tables, Azul Mystic channels frontier diplomacy into a ruleset that stays readable while outcomes stay unpredictable. By mid-campaign, 4 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,Dice|Legacy,Family,38.83,2,9,174,"Indigo Forge","Lena Ortiz",2005,/images/fixtures/game_0008.png,2025-11-05T23:14:06+00:00,2026-03-25T06:22:59+00:00,"-0.0312,0.4472,-0.8947,-0.2667,-0.998,0.617,0.6422,-0.6949"
9,"Gang of Dice: Sanctum","At its core, Gang of Dice: Sanctum is a Eurogame design where Engine Building and Solo mechanisms collide with simultaneous planning pacing for 1–3 players groups. Its Eurogame framework encourages risky pivots, especially once table politics reshape priorities. Campaign logs track table history, so failed gambits still unlock content; expect up to 9 relic-style upgrades that alter scoring priorities. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. If your table likes post-game debriefs, Gang of Dice: Sanctum will spark them—nearly every finale feels earned, messy, and memorable.",,"Engine Building|Solo",Eurogame,65.66,1,8,165,"Nimbus Games","Soraya Kline",2023,/images/fixtures/game_0009.png,2025-10-23T01:29:40+00:00,2026-03-25T06:22:59+00:00,"0.4361,0.227,-0.611,0.6385,-0.3614,-0.9658,0.5583,0.3477"
10,"Trio: Observatory","Built around Thematic systems, Trio: Observatory pushes Solo choices across 4 linked sessions and rewards tables that enjoy expedition survival. A standout mechanic tied to Solo means even safe plans can collapse if opponents read your tempo one round ahead. Map states remain highly legible despite scale; by late game, up to 14 tiles and layered markers support deep positional planning. Only adaptable crews master Trio: Observatory, where one public objective mutates whenever milestones are missed and long-term planning matter as much as tactical brilliance.",,Solo|Campaign,Thematic,33.33,1,9,126,"Nimbus Games","Nico Valdez",2010,/images/fixtures/game_0010.png,2026-01-10T15:25:50+00:00,2026-03-25T06:22:59+00:00,"0.9521,-0.8078,-0.2762,-0.7757,0.9787,0.8865,0.4983,-0.7241"
11,"Heat: Orbit","Heat: Orbit blends Family structure with Tile Laying chaos, delivering 60-minute arcs where every decision compounds into later chapters. Action windows stay short, but consequence chains run long, especially in sessions around 60 minutes where adaptation beats scripted play. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Tile Laying|Miniatures|Cards",Family,68.21,2,6,32,"Silver Oak Studio","Akira Flynn",2019,/images/fixtures/game_0011.png,2025-04-18T09:50:18+00:00,2026-03-25T06:22:59+00:00,"0.9559,0.8705,0.559,-0.5304,-0.0585,0.6137,-0.8702,-0.3811"
12,"Heat Ironclad","Heat Ironclad opens like a classic Eurogame game, then quickly reveals Miniatures layers that reward long-form table memory. Its Eurogame framework encourages risky pivots, especially once table politics reshape priorities. Map states remain highly legible despite scale; by late game, up to 16 tiles and layered markers support deep positional planning. Because scoring vectors drift over time, tables that over-specialize early often get punished once Miniatures effects begin stacking. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Miniatures|Campaign|Tile Laying",Eurogame,88.75,1,8,33,"Indigo Forge","Elliot Mercer",2009,/images/fixtures/game_0012.png,2026-01-23T01:28:48+00:00,2026-03-25T06:22:59+00:00,"0.9315,-0.3121,-0.0226,-0.4215,-0.5938,-0.5718,-0.1314,0.6849"
13,"Orbit: Protocol","Orbit: Protocol is a expert optimization Thematic title for 2–3 players that leans into Solo, Legacy and Cards and simultaneous planning play. Component design supports readability at scale: icon-first cards, layered reference boards, and phase reminders keep late-game turns moving. By mid-campaign, 7 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. If your table likes post-game debriefs, Orbit: Protocol will spark them—nearly every finale feels earned, messy, and memorable.",,Solo|Legacy|Cards,Thematic,50.87,2,8,146,"Clockwork Labs","Elliot Mercer",2008,/images/fixtures/game_0013.png,2025-06-22T12:17:08+00:00,2026-03-25T06:22:59+00:00,"-0.2822,-0.1593,-0.1633,-0.2526,0.7986,0.6447,-0.9536,-0.596"
14,"Forge against Maze","Forge against Maze is a expert optimization Party title for 1–4 players that leans into Engine Building and Legacy and real-time bursts play. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Map states remain highly legible despite scale; by late game, up to 29 tiles and layered markers support deep positional planning. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Engine Building|Legacy",Party,21.14,2,9,115,"Indigo Forge","Lena Ortiz",2007,/images/fixtures/game_0014.png,2025-12-22T15:17:02+00:00,2026-03-25T06:22:59+00:00,"0.4087,-0.4598,0.9283,-0.0684,-0.8133,-0.6115,0.0514,0.9416"
15,"El Grande Festival","At its core, El Grande Festival is a Party design where Miniatures and Engine Building mechanisms collide with simultaneous planning pacing for 2–6 players groups. Campaign logs track table history, so failed gambits still unlock content; expect up to 5 relic-style upgrades that alter scoring priorities. Win or lose, El Grande Festival tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Miniatures|Engine Building",Party,28.99,4,7,68,"Clockwork Labs","Lena Ortiz",2021,/images/fixtures/game_0015.png,2026-02-06T23:43:24+00:00,2026-03-25T06:22:59+00:00,"-0.3347,0.8087,-0.1388,-0.31,0.4691,0.5279,0.9688,0.5621"
